policy_id,gender,living_status,age,safty_rating,high_education_ind
policy_50,M,own,59,83,FALSE
policy_50,M,own,53,71,TRUE
policy_51,M,NA,30,70,TRUE
policy_51,M,dependent,17,43,FALSE
policy_51,M,dependent,16,66,FALSE
policy_51,F,dependent,16,68,FALSE
policy_52,M,own,55,75,FALSE
policy_52,F,dependent,19,74,FALSE
policy_52,F,dependent,18,83,FALSE
policy_53,M,own,44,85,FALSE
policy_54,F,dependent,16,47,FALSE
policy_55,M,own,37,80,FALSE
policy_57,M,own,45,65,TRUE
policy_57,F,own,55,93,FALSE
policy_57,M,dependent,20,64,FALSE
policy_57,F,dependent,18,69,FALSE
policy_57,F,dependent,17,75,FALSE
policy_57,M,dependent,16,52,FALSE
policy_58,M,rent,55,79,TRUE
policy_58,M,rent,40,70,TRUE
policy_59,M,own,67,72,FALSE
policy_59,M,own,65,49,FALSE
policy_59,F,dependent,17,58,FALSE
policy_59,F,dependent,18,62,FALSE
policy_60,M,own,55,89,FALSE
policy_61,F,dependent,17,60,FALSE
policy_62,M,own,52,74,TRUE
policy_63,M,rent,61,79,TRUE
policy_64,M,rent,44,76,TRUE
policy_68,M,own,67,91,FALSE
policy_68,F,own,38,83,FALSE
policy_68,F,dependent,17,69,FALSE
policy_68,M,dependent,19,58,FALSE
policy_69,M,rent,41,90,TRUE
policy_70,F,rent,36,81,FALSE
policy_71,M,own,59,67,TRUE
policy_71,F,dependent,18,70,FALSE
policy_71,F,dependent,19,43,FALSE
policy_71,M,dependent,18,63,FALSE
policy_71,F,dependent,18,62,FALSE
policy_73,M,rent,53,22,FALSE
policy_73,F,rent,33,61,FALSE
policy_75,F,dependent,20,64,FALSE
policy_76,F,own,57,70,FALSE
policy_79,M,rent,50,81,FALSE
policy_79,F,rent,32,37,TRUE
policy_79,M,dependent,21,54,FALSE
policy_81,F,rent,49,90,TRUE
policy_81,M,rent,27,72,FALSE
policy_81,F,dependent,19,17,FALSE
policy_82,M,own,31,93,FALSE
policy_83,M,own,36,67,TRUE
policy_85,M,dependent,18,41,FALSE
policy_86,F,own,45,77,FALSE
policy_86,F,own,54,54,FALSE
policy_86,M,dependent,19,78,FALSE
policy_86,M,dependent,17,67,FALSE
policy_86,M,dependent,17,46,FALSE
policy_87,F,own,40,91,TRUE
policy_88,M,own,47,76,FALSE
policy_88,F,dependent,16,52,FALSE
policy_88,F,dependent,17,66,FALSE
policy_88,F,dependent,17,68,FALSE
policy_89,M,dependent,18,63,FALSE
policy_90,F,rent,49,85,TRUE
policy_90,F,dependent,16,86,FALSE
policy_93,M,own,54,84,TRUE
policy_93,F,dependent,18,90,FALSE
policy_94,M,own,38,83,TRUE
policy_94,F,own,42,44,TRUE
policy_94,F,dependent,16,75,FALSE
policy_99,M,own,43,62,TRUE
policy_99,M,dependent,18,68,FALSE
policy_100,F,own,50,75,TRUE
policy_100,M,dependent,17,76,FALSE
policy_101,M,own,38,86,TRUE
policy_101,F,dependent,19,68,FALSE
policy_104,M,rent,35,90,TRUE
policy_104,M,rent,42,70,TRUE
policy_105,M,own,70,92,TRUE
policy_105,F,dependent,18,56,FALSE
policy_105,F,dependent,20,18,FALSE
policy_106,F,own,43,84,FALSE
policy_107,M,rent,43,89,TRUE
policy_107,M,rent,42,79,TRUE
policy_108,F,own,61,85,FALSE
policy_108,M,own,69,85,TRUE
policy_110,M,rent,50,62,FALSE
policy_110,F,rent,62,78,TRUE
policy_113,F,own,44,62,FALSE
policy_113,F,own,37,77,TRUE
policy_115,M,own,46,67,TRUE
policy_115,M,own,47,82,TRUE
policy_117,F,rent,60,65,FALSE
policy_117,F,rent,34,61,TRUE
policy_119,F,rent,65,55,FALSE
policy_120,M,own,48,70,TRUE
policy_121,F,own,73,96,TRUE
policy_122,F,own,43,22,TRUE
policy_122,F,dependent,18,37,FALSE
policy_124,M,rent,43,56,TRUE
policy_124,F,rent,52,71,TRUE
policy_124,F,dependent,17,71,FALSE
policy_127,F,own,36,76,FALSE
policy_128,M,rent,59,73,FALSE
policy_128,F,dependent,17,75,FALSE
policy_130,M,rent,30,72,TRUE
policy_130,F,dependent,19,62,FALSE
policy_131,F,own,57,88,TRUE
policy_131,F,own,50,83,TRUE
policy_131,F,dependent,20,64,FALSE
policy_131,F,dependent,17,68,FALSE
policy_131,F,dependent,17,77,FALSE
policy_132,M,rent,53,66,TRUE
policy_133,F,own,56,76,TRUE
policy_133,F,own,45,71,TRUE
policy_134,F,own,40,84,TRUE
policy_134,M,dependent,18,84,FALSE
policy_135,M,rent,78,75,TRUE
policy_135,M,dependent,21,69,TRUE
policy_136,M,rent,69,73,TRUE
policy_136,F,rent,67,64,TRUE
policy_136,M,dependent,18,65,FALSE
policy_137,M,own,48,87,TRUE
policy_137,F,own,65,85,TRUE
policy_139,F,rent,63,77,FALSE
policy_141,F,own,41,89,FALSE
policy_142,F,rent,56,89,FALSE
policy_142,F,rent,53,83,TRUE
policy_144,F,own,47,71,TRUE
policy_144,F,own,74,64,TRUE
policy_147,M,own,53,82,TRUE
policy_148,F,own,42,63,TRUE
policy_149,M,rent,49,75,FALSE
policy_149,M,rent,47,71,TRUE
policy_150,M,rent,37,70,FALSE
policy_150,F,dependent,19,70,FALSE
policy_150,F,dependent,19,41,FALSE
policy_151,M,own,42,87,TRUE
policy_153,M,rent,33,77,TRUE
policy_156,M,rent,44,61,TRUE
policy_156,F,rent,48,74,FALSE
policy_158,M,own,42,81,TRUE
policy_158,F,dependent,17,55,FALSE
policy_159,M,own,40,86,TRUE
policy_160,F,rent,50,78,TRUE
policy_161,F,rent,63,80,TRUE
policy_162,F,rent,49,72,FALSE
policy_162,M,rent,55,48,FALSE
policy_162,M,dependent,18,74,FALSE
policy_164,M,own,54,62,FALSE
policy_165,M,own,54,81,FALSE
policy_165,M,dependent,17,72,FALSE
policy_166,M,own,44,69,FALSE
policy_171,M,dependent,17,44,FALSE
policy_172,M,rent,28,54,FALSE
policy_172,F,rent,45,88,TRUE
policy_177,M,own,47,86,TRUE
policy_177,F,own,64,82,FALSE
policy_177,M,dependent,17,57,FALSE
policy_177,M,dependent,17,81,FALSE
policy_178,M,rent,59,85,TRUE
policy_178,F,rent,35,84,TRUE
policy_178,F,dependent,17,59,FALSE
policy_178,F,dependent,16,60,FALSE
policy_179,M,own,37,89,FALSE
policy_179,M,own,72,89,TRUE
policy_179,F,dependent,17,62,FALSE
policy_179,F,dependent,18,57,FALSE
policy_179,M,dependent,18,71,FALSE
policy_179,F,dependent,17,65,FALSE
policy_181,F,own,52,64,FALSE
policy_181,F,own,63,69,TRUE
policy_182,M,own,58,57,FALSE
policy_182,F,dependent,23,76,FALSE
policy_182,F,dependent,17,74,FALSE
policy_186,M,own,27,83,FALSE
policy_186,F,own,51,64,TRUE
policy_188,F,own,49,71,TRUE
policy_192,M,own,58,75,FALSE
policy_192,F,own,38,76,TRUE
policy_192,F,dependent,19,33,FALSE
policy_192,F,dependent,18,60,FALSE
policy_192,M,dependent,17,71,FALSE
policy_193,M,rent,44,86,TRUE
policy_193,F,rent,56,86,FALSE
policy_193,M,dependent,17,58,FALSE
policy_193,F,dependent,17,71,FALSE
policy_194,F,rent,63,82,FALSE
policy_194,F,rent,70,81,FALSE
policy_197,M,dependent,17,82,FALSE
policy_198,F,rent,51,69,TRUE
policy_198,F,dependent,19,72,FALSE
policy_198,F,dependent,17,62,FALSE
policy_199,M,own,55,33,TRUE
policy_199,M,own,48,58,FALSE
policy_199,F,dependent,17,58,FALSE
policy_200,F,rent,61,87,TRUE
policy_201,M,rent,46,76,FALSE
policy_201,M,rent,32,79,TRUE
policy_201,F,dependent,17,35,FALSE
policy_205,M,own,44,74,FALSE
policy_205,F,own,49,80,FALSE
policy_206,M,dependent,18,61,FALSE
policy_208,M,own,57,81,FALSE
policy_209,M,rent,56,85,TRUE
policy_209,M,dependent,17,74,FALSE
policy_209,M,dependent,18,37,FALSE
policy_210,F,rent,28,67,TRUE
policy_210,M,rent,31,45,TRUE
policy_211,F,own,41,72,TRUE
policy_211,F,own,62,92,TRUE
policy_214,F,rent,34,91,FALSE
policy_215,F,rent,40,94,FALSE
policy_215,F,rent,40,77,FALSE
policy_217,M,rent,58,82,FALSE
policy_218,M,own,32,78,TRUE
policy_218,F,dependent,17,84,FALSE
policy_219,M,own,51,87,FALSE
policy_219,F,own,43,75,TRUE
policy_219,F,dependent,18,69,FALSE
policy_219,M,dependent,18,55,FALSE
policy_219,M,dependent,20,25,FALSE
policy_220,M,rent,55,76,TRUE
policy_220,F,rent,43,86,TRUE
policy_220,F,dependent,17,70,FALSE
policy_221,M,rent,63,98,FALSE
policy_225,F,own,54,82,FALSE
policy_226,M,own,47,86,TRUE
policy_226,F,own,45,48,TRUE
policy_227,M,rent,44,52,FALSE
policy_227,F,rent,41,91,TRUE
policy_227,M,dependent,19,71,FALSE
policy_228,F,own,68,87,FALSE
policy_229,M,own,44,74,TRUE
policy_229,F,dependent,20,4,FALSE
policy_229,M,dependent,17,73,FALSE
policy_231,F,own,52,49,TRUE
policy_233,M,own,58,60,TRUE
policy_233,F,own,45,83,TRUE
policy_235,F,own,59,76,FALSE
policy_236,F,own,46,84,FALSE
policy_237,M,own,40,79,TRUE
policy_238,M,own,34,55,TRUE
policy_238,F,own,39,99,TRUE
policy_238,F,dependent,19,37,FALSE
policy_238,F,dependent,19,89,FALSE
policy_239,F,own,83,82,FALSE
policy_241,F,own,53,85,TRUE
policy_242,F,own,55,59,TRUE
policy_243,F,own,48,94,TRUE
policy_244,M,rent,56,70,FALSE
policy_244,F,rent,27,64,TRUE
policy_246,F,rent,44,74,TRUE
policy_247,M,own,73,77,FALSE
policy_247,F,own,63,96,TRUE
policy_249,M,rent,53,64,FALSE
policy_249,F,rent,43,87,TRUE
policy_250,F,own,47,46,TRUE
policy_251,M,rent,48,84,FALSE
policy_251,F,dependent,19,73,FALSE
policy_253,F,rent,44,88,FALSE
policy_253,F,rent,43,61,TRUE
policy_253,F,dependent,21,57,TRUE
policy_254,M,rent,55,74,TRUE
policy_254,M,rent,41,89,TRUE
policy_254,M,dependent,17,47,FALSE
policy_255,M,own,64,90,TRUE
policy_255,M,own,30,93,TRUE
policy_258,M,own,47,41,FALSE
policy_258,F,own,53,82,FALSE
policy_260,M,own,43,72,TRUE
policy_262,F,rent,92,81,TRUE
policy_262,M,rent,42,85,FALSE
policy_263,M,rent,37,88,TRUE
policy_265,M,rent,75,71,FALSE
policy_265,F,rent,61,86,FALSE
policy_265,M,dependent,19,73,FALSE
policy_265,F,dependent,18,59,FALSE
policy_266,F,rent,59,86,FALSE
policy_268,M,own,71,65,TRUE
policy_273,M,rent,57,34,TRUE
policy_273,M,rent,34,70,TRUE
policy_273,F,dependent,16,72,FALSE
policy_273,M,dependent,21,63,TRUE
policy_274,M,own,46,96,FALSE
policy_275,M,rent,39,90,TRUE
policy_275,F,dependent,17,60,FALSE
policy_275,F,dependent,20,78,FALSE
policy_276,F,own,81,78,FALSE
policy_277,M,rent,60,67,TRUE
policy_277,F,rent,59,75,TRUE
policy_279,F,rent,43,79,FALSE
policy_280,M,rent,41,83,TRUE
policy_280,M,rent,36,74,FALSE
policy_280,F,dependent,18,74,FALSE
policy_280,M,dependent,19,45,FALSE
policy_283,M,rent,53,82,TRUE
policy_284,F,own,49,73,TRUE
policy_285,F,own,41,70,TRUE
policy_290,M,own,43,77,TRUE
policy_291,F,dependent,18,53,FALSE
policy_292,M,rent,63,81,FALSE
policy_295,F,own,74,62,TRUE
policy_296,M,rent,42,82,TRUE
policy_297,F,rent,57,87,TRUE
policy_297,F,dependent,16,72,FALSE
policy_297,F,dependent,20,74,FALSE
policy_298,M,own,59,99,FALSE
policy_298,M,own,64,75,TRUE
policy_298,M,dependent,17,76,FALSE
policy_298,M,dependent,18,79,FALSE
policy_298,F,dependent,17,42,FALSE
policy_299,F,own,48,65,TRUE
policy_299,F,dependent,18,70,FALSE
policy_299,F,dependent,17,47,FALSE
policy_301,M,rent,52,80,FALSE
policy_304,M,own,66,86,FALSE
policy_304,F,dependent,20,49,FALSE
policy_304,M,dependent,18,59,FALSE
policy_304,M,dependent,19,72,FALSE
policy_305,M,own,38,87,FALSE
policy_305,F,own,47,94,TRUE
policy_305,M,dependent,17,68,FALSE
policy_306,M,own,51,72,FALSE
policy_306,M,own,60,85,TRUE
policy_307,F,rent,31,79,TRUE
policy_308,M,rent,54,85,FALSE
policy_308,F,rent,44,69,TRUE
policy_308,F,dependent,17,78,FALSE
policy_308,F,dependent,17,30,FALSE
policy_310,F,rent,33,94,TRUE
policy_310,F,rent,43,70,FALSE
policy_311,F,dependent,16,59,FALSE
policy_312,M,rent,38,87,TRUE
policy_312,F,dependent,16,54,FALSE
policy_313,M,own,33,85,TRUE
policy_314,M,own,60,82,TRUE
policy_314,M,own,55,87,TRUE
policy_314,F,dependent,17,65,FALSE
policy_314,M,dependent,18,86,FALSE
policy_314,F,dependent,17,78,FALSE
policy_315,F,own,41,60,TRUE
policy_315,F,own,40,89,FALSE
policy_315,M,dependent,19,72,FALSE
policy_317,F,own,62,70,TRUE
policy_320,M,own,55,66,FALSE
policy_320,F,own,51,24,TRUE
policy_323,M,rent,49,78,FALSE
policy_323,F,rent,36,80,TRUE
policy_324,M,dependent,18,43,FALSE
policy_328,F,rent,40,59,FALSE
policy_330,M,rent,51,61,FALSE
policy_330,F,rent,39,79,TRUE
policy_331,M,own,53,72,TRUE
policy_331,F,own,50,80,TRUE
policy_333,F,own,54,80,TRUE
policy_334,F,rent,56,62,TRUE
policy_334,F,rent,45,77,FALSE
policy_336,M,rent,38,66,TRUE
policy_337,F,own,43,84,TRUE
policy_337,M,dependent,16,73,FALSE
policy_337,M,dependent,18,71,FALSE
policy_338,M,dependent,17,71,FALSE
policy_342,M,rent,43,50,TRUE
policy_342,M,rent,54,51,TRUE
policy_342,M,dependent,19,33,FALSE
policy_343,M,rent,59,57,TRUE
policy_343,M,rent,46,56,TRUE
policy_343,F,dependent,18,86,FALSE
policy_343,F,dependent,18,71,FALSE
policy_345,M,own,40,44,TRUE
policy_345,F,dependent,17,36,FALSE
policy_345,M,dependent,17,80,FALSE
policy_345,M,dependent,17,63,FALSE
policy_346,F,own,61,92,TRUE
policy_346,F,own,37,65,TRUE
policy_346,F,dependent,18,82,FALSE
policy_347,M,own,35,80,FALSE
policy_347,F,dependent,18,41,FALSE
policy_347,M,dependent,20,36,FALSE
policy_349,M,own,79,84,FALSE
policy_349,F,dependent,17,37,FALSE
policy_349,M,dependent,19,88,FALSE
policy_350,M,rent,40,86,TRUE
policy_350,M,rent,43,81,TRUE
policy_350,M,dependent,18,29,FALSE
policy_350,F,dependent,18,29,FALSE
policy_350,M,dependent,16,55,FALSE
policy_353,F,own,49,58,TRUE
policy_354,M,rent,59,51,TRUE
policy_356,M,own,66,47,TRUE
policy_356,F,own,40,70,TRUE
policy_359,M,rent,32,54,TRUE
policy_359,F,rent,67,89,TRUE
policy_359,M,dependent,18,-2,FALSE
policy_361,M,rent,64,88,TRUE
policy_361,F,rent,70,77,TRUE
policy_361,M,dependent,17,54,FALSE
policy_362,F,rent,33,37,TRUE
policy_362,F,rent,72,89,TRUE
policy_362,M,dependent,19,62,FALSE
policy_364,M,own,42,84,FALSE
policy_364,F,dependent,20,67,FALSE
policy_364,M,dependent,17,43,FALSE
policy_365,F,own,80,63,TRUE
policy_366,M,own,37,55,FALSE
policy_368,M,own,52,76,FALSE
policy_368,F,own,46,85,FALSE
policy_368,M,dependent,18,47,FALSE
policy_369,M,rent,40,85,TRUE
policy_370,M,rent,59,64,TRUE
policy_370,F,rent,30,83,FALSE
policy_370,M,dependent,18,79,FALSE
policy_372,M,own,51,49,TRUE
policy_372,F,own,45,87,TRUE
policy_372,F,dependent,19,62,FALSE
policy_372,M,dependent,20,25,FALSE
policy_372,F,dependent,17,59,FALSE
policy_375,F,rent,59,67,TRUE
policy_376,M,rent,54,44,TRUE
policy_376,F,rent,55,54,FALSE
policy_377,F,own,43,70,TRUE
policy_379,M,own,61,13,TRUE
policy_379,F,own,60,85,TRUE
policy_379,F,dependent,17,68,FALSE
policy_383,F,own,51,91,TRUE
policy_384,M,own,57,54,TRUE
policy_388,M,rent,46,96,FALSE
policy_391,M,own,47,18,TRUE
policy_392,F,rent,45,88,TRUE
policy_393,M,own,40,55,TRUE
policy_393,F,own,43,87,FALSE
policy_393,M,dependent,16,82,FALSE
policy_393,F,dependent,17,41,FALSE
policy_396,F,own,40,72,TRUE
policy_396,F,own,52,85,TRUE
policy_397,F,own,35,82,TRUE
policy_399,F,rent,52,72,TRUE
policy_399,F,rent,59,50,TRUE
policy_400,F,own,75,60,FALSE
policy_400,F,own,50,78,TRUE
policy_400,M,dependent,17,71,FALSE
policy_403,M,own,33,90,TRUE
policy_403,F,dependent,20,83,FALSE
policy_403,M,dependent,17,61,FALSE
policy_403,F,dependent,18,80,FALSE
policy_403,F,dependent,16,80,FALSE
policy_405,M,rent,64,81,FALSE
policy_408,F,own,31,92,TRUE
policy_408,M,own,53,94,FALSE
policy_408,F,dependent,17,40,FALSE
policy_408,F,dependent,17,63,FALSE
policy_409,M,rent,66,79,TRUE
policy_410,F,rent,38,40,TRUE
policy_410,M,dependent,18,84,FALSE
policy_410,M,dependent,20,70,FALSE
policy_415,M,own,65,79,FALSE
policy_415,F,own,35,85,TRUE
policy_415,M,dependent,18,66,FALSE
policy_416,M,rent,29,79,TRUE
policy_416,F,rent,76,75,FALSE
policy_417,F,own,42,92,TRUE
policy_418,M,own,33,93,FALSE
policy_418,F,own,38,76,TRUE
policy_418,M,dependent,19,74,FALSE
policy_420,M,rent,35,98,FALSE
policy_420,F,rent,58,63,TRUE
policy_421,M,own,36,85,FALSE
policy_421,M,dependent,17,53,FALSE
policy_422,F,rent,50,81,FALSE
policy_422,F,dependent,22,72,FALSE
policy_422,M,dependent,17,71,FALSE
policy_423,F,own,54,57,FALSE
policy_424,F,own,48,84,TRUE
policy_424,F,own,39,84,FALSE
policy_424,F,dependent,18,27,FALSE
policy_426,M,own,58,64,FALSE
policy_428,M,own,51,72,TRUE
policy_428,F,own,67,28,FALSE
policy_429,F,own,51,89,FALSE
policy_430,M,rent,27,83,TRUE
policy_430,M,rent,47,73,TRUE
policy_430,F,dependent,24,58,FALSE
policy_431,M,own,39,93,FALSE
policy_431,M,own,54,72,FALSE
policy_432,F,own,55,82,TRUE
policy_433,M,own,69,71,TRUE
policy_433,F,own,39,82,FALSE
policy_433,F,dependent,17,63,FALSE
policy_434,M,rent,69,67,TRUE
policy_434,M,dependent,16,81,FALSE
policy_436,F,rent,54,72,TRUE
policy_436,F,rent,50,98,TRUE
policy_437,F,own,40,51,TRUE
policy_437,F,own,75,74,FALSE
policy_439,F,rent,45,86,TRUE
policy_440,M,own,50,56,FALSE
policy_440,F,dependent,20,57,FALSE
policy_440,M,dependent,19,35,FALSE
policy_441,F,own,74,53,TRUE
policy_442,M,own,32,64,TRUE
policy_442,F,own,78,84,NA
policy_444,M,own,52,64,TRUE
policy_444,F,dependent,17,55,FALSE
policy_445,M,own,40,67,TRUE
policy_446,M,own,66,65,TRUE
policy_446,F,own,49,84,TRUE
policy_446,M,dependent,16,85,FALSE
policy_447,F,rent,53,68,FALSE
policy_449,M,own,47,72,TRUE
policy_449,M,own,41,64,TRUE
policy_450,M,own,59,87,FALSE
policy_450,F,own,55,84,FALSE
policy_451,M,own,52,65,FALSE
policy_451,F,own,50,59,TRUE
policy_452,M,own,50,90,FALSE
policy_453,F,own,34,69,TRUE
policy_454,F,rent,73,71,FALSE
policy_454,F,rent,49,94,FALSE
policy_456,F,own,62,83,TRUE
policy_456,M,own,47,50,TRUE
policy_456,M,dependent,18,37,FALSE
policy_456,F,dependent,19,84,FALSE
policy_456,M,dependent,19,54,FALSE
policy_456,M,dependent,19,55,FALSE
policy_457,F,rent,45,80,FALSE
policy_457,F,rent,54,90,TRUE
policy_459,F,dependent,16,85,FALSE
policy_461,M,rent,34,74,FALSE
policy_461,F,rent,69,64,FALSE
policy_463,M,rent,39,62,FALSE
policy_463,M,rent,53,68,TRUE
policy_463,F,dependent,16,63,FALSE
policy_463,M,dependent,20,39,NA
policy_466,M,rent,49,80,TRUE
policy_466,F,dependent,17,49,FALSE
policy_466,M,dependent,20,80,FALSE
policy_473,F,rent,51,67,TRUE
policy_475,F,rent,32,81,TRUE
policy_477,M,rent,39,75,TRUE
policy_477,F,rent,31,64,FALSE
policy_477,F,dependent,18,69,FALSE
policy_478,M,own,65,80,TRUE
policy_479,M,own,38,91,TRUE
policy_479,M,dependent,19,27,FALSE
policy_479,M,dependent,16,63,FALSE
policy_482,M,own,51,52,TRUE
policy_482,F,own,56,79,TRUE
policy_483,F,own,53,87,FALSE
policy_483,M,own,55,59,FALSE
policy_483,M,dependent,17,82,FALSE
policy_484,F,own,46,91,TRUE
policy_484,F,own,34,79,TRUE
policy_484,M,dependent,19,54,FALSE
policy_484,M,dependent,17,86,FALSE
policy_486,F,own,45,87,FALSE
policy_486,M,own,54,90,FALSE
policy_487,F,rent,48,44,TRUE
policy_487,F,rent,49,87,FALSE
policy_488,M,rent,41,60,TRUE
policy_489,M,rent,54,36,TRUE
policy_489,F,rent,52,86,FALSE
policy_489,F,dependent,18,64,FALSE
policy_490,F,rent,41,71,TRUE
policy_490,F,rent,41,96,TRUE
policy_491,M,rent,44,81,FALSE
policy_491,F,rent,40,87,TRUE
policy_492,M,own,37,84,TRUE
policy_492,F,own,58,62,FALSE
policy_492,F,dependent,17,65,FALSE
policy_494,M,own,64,84,FALSE
policy_494,F,own,57,84,TRUE
policy_495,F,rent,65,83,FALSE
policy_495,F,dependent,16,75,FALSE
policy_497,M,own,70,77,TRUE
policy_497,M,own,62,95,TRUE
policy_499,F,dependent,16,79,FALSE
policy_500,M,rent,65,70,TRUE
policy_500,F,rent,43,66,FALSE
policy_501,M,rent,48,78,TRUE
policy_501,F,dependent,17,70,FALSE
policy_502,M,rent,49,72,FALSE
policy_502,F,dependent,18,56,FALSE
policy_502,M,dependent,18,85,FALSE
policy_502,F,dependent,20,32,FALSE
policy_502,F,dependent,17,55,FALSE
policy_502,M,dependent,16,15,FALSE
policy_503,M,rent,78,75,FALSE
policy_503,F,rent,52,93,TRUE
policy_504,F,own,54,90,TRUE
policy_505,M,own,78,77,TRUE
policy_505,M,own,53,66,FALSE
policy_506,F,own,37,97,FALSE
policy_506,F,own,57,81,FALSE
policy_506,F,dependent,18,63,FALSE
policy_509,M,own,49,67,TRUE
policy_510,F,rent,37,48,TRUE
policy_510,F,rent,39,95,FALSE
policy_510,F,dependent,16,69,FALSE
policy_512,M,rent,49,84,TRUE
policy_515,F,rent,59,72,FALSE
policy_516,M,own,64,85,FALSE
policy_516,F,own,65,49,FALSE
policy_516,F,dependent,18,77,FALSE
policy_516,M,dependent,17,78,FALSE
policy_516,F,dependent,21,58,FALSE
policy_518,M,own,67,83,TRUE
policy_518,M,dependent,17,51,FALSE
policy_518,F,dependent,17,71,FALSE
policy_521,M,rent,37,83,TRUE
policy_521,F,rent,56,67,FALSE
policy_521,F,dependent,21,76,TRUE
policy_521,F,dependent,18,57,FALSE
policy_522,M,rent,31,81,FALSE
policy_523,M,own,50,81,TRUE
policy_526,M,own,52,81,TRUE
policy_526,F,own,68,43,FALSE
policy_527,M,rent,75,78,FALSE
policy_527,F,dependent,16,81,FALSE
policy_527,F,dependent,17,63,FALSE
policy_530,M,own,65,84,TRUE
policy_530,M,own,51,88,TRUE
policy_531,M,rent,57,86,TRUE
policy_531,F,rent,30,74,TRUE
policy_532,M,own,72,58,TRUE
policy_533,M,own,75,46,TRUE
policy_533,F,own,27,59,TRUE
policy_535,M,own,57,69,TRUE
policy_535,F,own,62,77,TRUE
policy_535,F,dependent,17,75,FALSE
policy_535,M,dependent,16,74,FALSE
policy_536,M,rent,48,63,FALSE
policy_537,F,own,60,74,FALSE
policy_537,F,own,50,80,FALSE
policy_539,F,own,49,72,FALSE
policy_539,F,dependent,18,43,FALSE
policy_540,F,rent,57,81,TRUE
policy_540,F,dependent,18,81,FALSE
policy_540,M,dependent,16,66,FALSE
policy_542,M,rent,54,77,FALSE
policy_545,M,own,55,85,FALSE
policy_545,M,own,46,71,FALSE
policy_546,M,rent,64,88,FALSE
policy_546,F,rent,47,76,TRUE
policy_547,M,own,46,93,TRUE
policy_547,F,own,62,69,TRUE
policy_548,F,own,46,75,FALSE
policy_548,F,own,47,87,FALSE
policy_549,M,own,59,87,FALSE
policy_549,F,own,53,72,FALSE
policy_550,M,own,60,98,FALSE
policy_550,F,own,45,87,TRUE
policy_551,M,rent,31,71,TRUE
policy_551,F,dependent,17,28,FALSE
policy_553,M,own,54,92,TRUE
policy_554,M,own,44,78,TRUE
policy_554,F,dependent,20,77,FALSE
policy_554,F,dependent,17,87,FALSE
policy_557,F,rent,36,82,FALSE
policy_557,F,rent,49,24,TRUE
policy_559,M,rent,47,88,TRUE
policy_559,F,dependent,19,41,FALSE
policy_559,F,dependent,17,89,FALSE
policy_560,F,own,51,81,TRUE
policy_560,F,own,48,58,TRUE
policy_560,F,dependent,20,53,FALSE
policy_561,F,rent,39,82,TRUE
policy_561,F,rent,49,80,TRUE
policy_562,M,own,43,64,TRUE
policy_564,M,rent,54,100,TRUE
policy_564,F,rent,73,74,FALSE
policy_564,F,dependent,16,64,FALSE
policy_565,M,rent,44,91,FALSE
policy_566,M,own,48,64,TRUE
policy_566,M,own,61,58,TRUE
policy_566,F,dependent,17,51,FALSE
policy_566,M,dependent,20,81,FALSE
policy_567,F,rent,44,37,TRUE
policy_567,F,rent,52,47,TRUE
policy_569,M,own,60,78,TRUE
policy_569,F,own,70,57,FALSE
policy_573,F,rent,49,59,FALSE
