"convert_ind","discount","Home_policy_ind","quoted_amt","credit_score","number_drivers","num_loaned_veh","num_owned_veh","num_leased_veh","total_number_veh","Carrier1","Carrier2","Carrier3","Carrier4","Carrier5","Carrier6","Carrier7","Carrier8","Package_high","Package_medium","Package_low","Catzone1","Catzone2","Catzone3","Catzone4","Catzone5","Parking_home","Parking_garage","Parking_street","mean_gender","act_num_drivers","num_liv_own","num_liv_dep","num_liv_rent","mean_age","mean_safe","mean_edu","act_num_leased_veh","act_num_loaned_veh","act_num_owned_veh","act_num_veh","mean_car_age","cv_index"
1,0,0,3939,723,2,3,1,2,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.5,2,2,0,0,62,79.5,0.5,0,3,1,4,6,1
1,1,1,3721,640,1,2,2,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,36,31,1,1,0,1,2,5,1
1,0,0,15930,589,1,1,1,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,40,53,1,1,0,1,2,4.5,1
1,0,0,3769,626,3,1,2,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.333333333333333,3,0,2,1,25,65.6666666666667,0,0,1,2,3,3.66666666666667,1
1,1,1,13629,578,2,2,2,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.5,2,0,0,2,51.5,79,0.5,1,0,2,3,5,1
1,1,1,505,769,1,1,2,1,4,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,45,83,1,1,0,2,3,4.66666666666667,1
1,0,0,1258,739,1,2,2,1,5,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,64,87,1,2,1,3,6,4.83333333333333,1
1,0,0,2217,610,2,1,2,0,3,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.5,2,2,0,0,53.5,51.5,1,1,3,2,6,4.66666666666667,1
1,1,1,1216,762,1,2,3,1,6,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,16,65,0,0,2,1,3,5.66666666666667,1
1,1,1,5369,631,2,1,2,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0.5,2,0,1,1,41,39,0.5,0,2,2,4,5.5,1
1,1,1,4064,714,1,1,2,0,3,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,48,89,1,1,1,1,3,4.33333333333333,1
1,0,0,3496,593,3,1,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0.333333333333333,3,0,2,1,29,67.3333333333333,0,1,1,1,3,4.33333333333333,1
1,0,0,583,755,3,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.666666666666667,3,0,1,2,31.3333333333333,74.3333333333333,0.333333333333333,1,1,1,3,3.66666666666667,1
1,0,0,3167,565,5,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0.8,5,2,3,0,31,69.8,0.4,0,2,1,3,5.66666666666667,1
1,0,0,21475,570,1,1,3,0,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,57,83,1,0,1,1,2,3.5,1
1,1,0,2786,641,2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0.5,2,2,0,0,43.5,66,1,0,1,1,2,2.5,1
1,1,1,4381,640,1,1,2,0,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,45,80,1,0,1,2,3,4.33333333333333,1
1,0,0,3129,664,2,0,2,0,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,2,0,0,40,82,0.5,1,0,1,2,6.5,1
1,0,0,2447,664,3,0,2,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.666666666666667,3,1,2,0,25,74.3333333333333,0.333333333333333,0,2,1,3,5,1
1,1,1,2531,631,1,2,2,0,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,56,70,1,0,1,1,2,3,1
1,1,1,9646,516,1,1,1,1,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,39,42,1,0,1,2,3,4.66666666666667,1
1,1,1,3266,628,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,56,80,1,1,1,2,4,6.25,1
1,1,0,1151,774,1,1,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,64,92,1,0,2,3,5,5,1
1,1,1,8920,513,4,3,1,1,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.75,4,0,2,2,34.25,76.25,0.25,1,2,2,5,4.2,1
1,1,1,567,765,1,1,2,0,3,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,53,79,0,0,2,2,4,6.75,1
1,0,0,6922,565,2,3,2,0,5,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,2,1,1,0,36.5,55,0,0,1,2,3,6,1
1,0,0,1676,750,3,1,3,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.666666666666667,3,2,1,0,37,73,0.666666666666667,1,2,1,4,4.75,1
1,1,0,18928,585,2,1,1,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.5,2,2,0,0,39,87,0.5,1,2,1,4,3.75,1
1,1,0,6887,602,2,1,2,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0.5,2,0,0,2,46.5,70.5,0,0,1,1,2,5,1
1,0,0,1529,712,3,1,2,1,4,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0.333333333333333,3,2,1,0,36.6666666666667,83.3333333333333,0.666666666666667,0,1,1,2,2.5,1
1,0,0,2667,609,3,1,1,1,3,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.666666666666667,3,0,1,2,46.6666666666667,57.6666666666667,1,0,2,1,3,5,1
1,0,0,2793,670,3,1,2,0,3,0,0,1,0,0,0,0,0,0,1,0,,,,,,0,1,0,0.333333333333333,3,0,2,1,34.6666666666667,59,0,1,0,2,3,2,1
1,1,1,2288,667,3,0,2,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0.333333333333333,3,1,2,0,32,61,0.333333333333333,2,0,2,4,4.75,1
1,0,0,4914,668,2,2,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.5,2,0,0,2,40.5,79.5,1,1,3,2,6,4.66666666666667,1
1,0,0,3538,625,2,1,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.5,2,2,0,0,46,73,0,0,0,1,1,5,1
1,0,0,1136,758,2,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.5,2,0,0,2,51,83,0.5,0,3,3,6,4.66666666666667,1
1,0,0,2463,658,2,1,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.5,2,0,0,2,59,77.5,0.5,0,2,1,3,3.33333333333333,1
1,1,1,7408,600,2,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.5,2,2,0,0,60,62.5,1,0,1,1,2,2,1
1,0,0,2190,588,2,2,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0.5,2,0,0,2,44,60.5,0.5,0,3,1,4,4.25,1
1,0,0,4619,640,2,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.5,2,0,0,2,48,71.5,0.5,0,0,1,1,5,1
1,0,0,4718,674,2,2,1,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.5,2,1,1,0,23.5,83,0.5,0,1,2,3,5.33333333333333,1
1,0,0,4773,712,2,2,2,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0.5,2,2,0,0,51,82,1,2,2,2,6,5.6,1
1,0,0,3918,672,2,2,1,1,4,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0.5,2,1,1,0,44,78.5,0,2,2,2,6,3.83333333333333,1
1,0,0,5271,645,6,0,3,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0.5,6,1,5,0,23.3333333333333,63.3333333333333,0,1,2,3,6,4.83333333333333,1
1,0,0,1859,698,1,0,3,1,4,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,61,93,1,0,2,1,3,4.33333333333333,1
1,1,1,5524,636,1,1,1,0,2,0,0,0,0,0,0,0,0,,,,0,1,0,0,0,1,0,0,1,1,0,0,1,56,73,0,0,1,1,2,8,1
1,0,0,2700,670,1,3,2,1,6,0,1,0,0,0,0,0,0,,,,1,0,0,0,0,0,0,0,1,1,1,0,0,46,80,0,1,0,1,2,2,1
1,0,0,4277,657,2,1,2,0,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.5,2,2,0,0,48,66.5,1,0,2,1,3,4.33333333333333,1
1,1,1,1736,694,4,2,3,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.5,4,0,2,2,40,47.75,0.75,0,1,1,2,5.5,1
1,1,1,3781,652,1,1,1,0,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,34,91,1,0,1,2,3,5.33333333333333,1
1,0,0,3300,672,1,1,3,0,4,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,50,89,1,0,3,2,5,4.4,1
1,1,1,3884,664,1,1,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,38,68,0,2,1,1,4,5,1
1,0,0,4601,541,1,1,2,1,4,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,50,91,1,1,3,1,5,5.2,1
1,0,0,5295,618,1,3,3,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,53,91,0,0,1,3,4,3.75,1
1,1,0,1379,721,1,3,2,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,54,58,1,1,1,3,5,5.2,1
1,0,0,3432,670,2,1,2,1,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.5,2,2,0,0,45.5,69,0.5,2,1,3,6,4,1
1,1,1,3309,672,1,2,2,0,4,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,47,96,1,0,2,2,4,3,1
1,0,0,4348,726,3,1,2,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,3,2,1,0,27,70,0.666666666666667,1,1,1,3,2.66666666666667,1
1,1,0,2803,641,1,2,2,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,17,78,0,1,1,3,5,5.8,1
1,0,0,12774,536,1,2,1,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,52,86,1,0,2,1,3,6.33333333333333,1
1,0,0,780,700,2,1,1,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,2,51.5,68.5,0,0,1,1,2,4,1
1,0,0,2110,689,1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,77,64,0,1,2,1,4,5.5,1
1,0,0,3139,643,2,1,2,1,4,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.5,2,2,0,0,69.5,58,1,0,0,1,1,3,1
1,0,0,7854,537,1,1,1,0,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,55,85,1,1,1,1,3,4.66666666666667,1
1,1,1,7015,504,1,1,1,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,57,94,0,0,1,2,3,5,1
1,0,0,1690,738,2,2,2,0,4,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.5,2,0,0,2,42.5,78,1,1,1,1,3,7,1
1,0,0,4243,687,2,2,1,1,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,2,50.5,85.5,1,0,3,3,6,4.66666666666667,1
1,0,0,11916,528,2,2,1,1,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,35.5,71,0.5,1,0,1,2,4.5,1
1,0,0,4112,617,1,2,1,0,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,55,73,1,1,1,2,4,7.25,1
1,0,0,4464,725,2,2,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,2,0,0,47.5,72,0.5,2,1,1,4,5.25,1
1,0,0,1053,748,1,2,3,0,5,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,49,85,1,0,0,1,1,4,1
1,1,1,3918,635,2,2,1,1,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0.5,2,0,0,2,39,71.5,0,0,2,1,3,5,1
1,1,1,7159,619,1,3,1,1,5,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,47,55,1,0,1,1,2,6.5,1
1,1,1,830,760,1,1,2,1,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,44,81,0,0,2,1,3,5.33333333333333,1
1,0,0,4296,665,3,2,1,1,4,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,3,2,1,0,34,86,0.333333333333333,2,0,2,4,3.5,1
1,1,1,231,735,5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,5,2,3,0,28,75.4,0.2,0,2,1,3,6,1
1,0,0,3610,649,2,2,1,1,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,2,39.5,69,0.5,0,1,1,2,6.5,1
1,1,1,2593,579,1,2,3,1,6,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,41,77,0,0,2,3,5,5,1
1,0,0,4947,615,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,68,65,0,0,1,1,2,7.5,1
1,1,0,13875,610,1,3,1,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,68,48,1,0,0,3,3,4.33333333333333,1
1,1,1,1938,745,3,3,1,1,5,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3,0,1,2,45.3333333333333,72.6666666666667,0.333333333333333,1,1,2,4,4,1
1,1,1,1801,743,4,1,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,4,2,2,0,45,77,0.25,1,1,1,3,5.66666666666667,1
1,1,1,2454,632,1,2,3,0,5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,41,54,1,1,3,2,6,4.5,1
1,1,1,3183,606,1,1,1,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,49,88,0,0,2,2,4,6.25,1
1,0,0,8747,505,2,1,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,1,1,30.5,57,0.5,1,0,1,2,5.5,1
1,1,1,31131,564,3,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.333333333333333,3,1,2,0,29,57.6666666666667,0.333333333333333,0,2,2,4,5.5,1
1,0,0,3754,605,3,1,2,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.666666666666667,3,0,1,2,40.3333333333333,64,0,0,0,2,2,4,1
1,1,1,4092,607,1,2,2,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,41,90,1,0,1,2,3,6.33333333333333,1
1,1,1,1067,730,3,2,1,1,4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,3,2,1,0,39.6666666666667,57.3333333333333,1,0,2,2,4,5.75,1
1,1,1,1703,848,3,1,1,1,3,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.333333333333333,3,1,2,0,33.6666666666667,78.6666666666667,0,0,2,3,5,7,1
1,1,1,4565,661,1,2,1,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,47,73,1,0,3,2,5,5.4,1
1,0,0,7304,574,1,1,1,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,46,82,1,1,1,1,3,5.66666666666667,1
1,0,0,1306,769,3,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.333333333333333,3,1,2,0,25.6666666666667,65.3333333333333,0.333333333333333,2,0,1,3,5,1
1,0,0,1971,742,2,1,3,0,4,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.5,2,1,1,0,32,71,0.5,1,1,3,5,5.2,1
1,1,0,5045,644,2,1,3,1,5,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0.5,2,2,0,0,34,71,1,0,0,2,2,4.5,1
1,1,1,3877,598,2,2,1,1,4,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,2,33,44,0.5,0,1,1,2,4.5,1
1,1,1,4541,689,2,1,1,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,2,2,0,0,42.5,79,0.5,0,1,2,3,4,1
1,1,0,3781,695,3,2,1,0,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,3,0,1,2,36.3333333333333,69.3333333333333,0,0,3,1,4,4.5,1
1,0,0,6980,522,1,1,3,2,6,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,49,78,1,2,0,3,5,4,1
1,0,0,6427,561,1,0,3,2,5,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,41,72,0,0,3,2,5,4.4,1
1,0,0,6536,581,2,1,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.5,2,2,0,0,48,73,1,0,1,2,3,4,1
1,0,0,4400,660,2,3,1,1,5,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,2,0,0,36.5,58,0,0,1,1,2,5,1
1,0,0,2890,707,3,2,1,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3,2,1,0,37,63,0,0,1,2,3,4.33333333333333,1
1,1,0,2187,642,1,1,3,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,16,55,0,1,3,1,5,4.6,1
1,1,1,4844,579,1,1,1,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,18,79,0,0,1,1,2,7,1
1,0,0,3107,666,3,3,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.333333333333333,3,1,2,0,29.3333333333333,62,0.333333333333333,1,0,2,3,3.66666666666667,1
1,0,0,2919,687,1,3,1,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,70,85,1,1,1,2,4,5,1
1,0,0,6481,534,3,2,3,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.666666666666667,3,2,1,0,33,69.6666666666667,0.666666666666667,1,1,1,3,7.66666666666667,1
1,0,0,2059,688,2,1,2,1,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,2,51.5,78,1,0,1,2,3,5.33333333333333,1
1,1,1,8559,563,3,1,1,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.666666666666667,3,1,2,0,28,83,0.333333333333333,0,2,1,3,3,1
1,0,0,8016,593,1,1,1,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,42,80,1,0,2,1,3,3.33333333333333,1
1,0,0,10688,565,4,1,2,1,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0.25,4,1,3,0,28,52,0,0,1,1,2,5,1
1,0,0,2614,628,3,2,2,0,4,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.666666666666667,3,1,2,0,37,73.6666666666667,0.666666666666667,0,1,1,2,5,1
1,1,0,8455,534,4,0,2,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.75,4,1,3,0,28,63.5,0.25,1,2,2,5,7.8,1
1,0,0,4779,656,2,2,2,2,6,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,1,1,0,36,52.5,0,0,1,2,3,4.33333333333333,1
1,1,0,6422,586,3,3,3,1,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3,2,1,0,40,68.3333333333333,0.333333333333333,1,3,2,6,6.66666666666667,1
1,0,0,3633,688,3,1,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0.333333333333333,3,1,2,0,41,60.6666666666667,0.333333333333333,0,0,2,2,4,1
1,0,0,4241,657,1,1,2,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,34,57,0,0,2,2,4,5.25,1
1,0,0,5974,642,3,2,1,0,3,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,3,0,1,2,40,77.6666666666667,1,1,1,2,4,3.75,1
1,0,0,9246,622,1,2,3,1,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,57,84,0,0,1,1,2,4.5,1
1,0,0,3127,641,2,3,1,0,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.5,2,2,0,0,46.5,70,0.5,0,1,1,2,6,1
1,1,1,1803,776,1,2,2,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,77,71,1,1,1,3,5,4.4,1
1,0,0,875,792,1,2,3,0,5,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,36,58,1,0,1,1,2,5,1
1,0,0,2231,657,3,2,2,1,5,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0.666666666666667,3,1,2,0,33.6666666666667,68.3333333333333,0.333333333333333,2,1,1,4,6.75,1
1,0,0,1637,814,1,1,2,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,40,77,1,1,1,1,3,6,1
1,0,0,2525,718,2,2,1,0,3,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,2,38.5,67,1,1,2,2,5,5.2,1
1,0,0,1662,712,2,1,1,1,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.5,2,1,1,0,27,72,0.5,1,1,3,5,4.6,1
1,1,0,3808,621,1,1,1,1,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,38,42,0,0,2,1,3,4,1
1,0,0,1710,750,3,2,1,1,4,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0.666666666666667,3,1,2,0,39.3333333333333,66,0.333333333333333,2,2,1,5,5.8,1
1,0,0,5030,659,5,1,2,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.4,5,1,4,0,20.2,72.4,0.2,0,2,1,3,6.66666666666667,1
1,0,0,5891,643,4,3,1,2,6,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.75,4,2,2,0,42.25,71.25,0.5,1,3,2,6,5.66666666666667,1
1,0,0,1557,741,1,2,2,1,5,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,60,84,1,0,0,1,1,9,1
